DATAFLOW,HORTICULTURE_AGR_AGR_002,AREA_AGR_AGR_002,YEAR_AGR_AGR_002,OBS_VALUE,OBS_STATUS
STATSNZ:AGR_AGR_002(1.0),8600,9,1994,175,
STATSNZ:AGR_AGR_002(1.0),8555,6,1994,303,
STATSNZ:AGR_AGR_002(1.0),8570,1,1994,331,
STATSNZ:AGR_AGR_002(1.0),9170,19,1994,370,
STATSNZ:AGR_AGR_002(1.0),9120,3,1994,1817,
STATSNZ:AGR_AGR_002(1.0),9135,15,1994,2517,
STATSNZ:AGR_AGR_002(1.0),9120,20,1994,4929,
STATSNZ:AGR_AGR_002(1.0),8500,4,2002,137,
STATSNZ:AGR_AGR_002(1.0),8555,20,2002,11841,
STATSNZ:AGR_AGR_002(1.0),8600,19,2002,9888,
STATSNZ:AGR_AGR_002(1.0),8700,5,2002,12,
STATSNZ:AGR_AGR_002(1.0),9120,10,2002,4555,
STATSNZ:AGR_AGR_002(1.0),8555,16,2003,10,
STATSNZ:AGR_AGR_002(1.0),8555,20,2003,12271,
STATSNZ:AGR_AGR_002(1.0),8570,11,2003,9,
STATSNZ:AGR_AGR_002(1.0),8600,6,2003,4272,
STATSNZ:AGR_AGR_002(1.0),8600,19,2003,11850,
STATSNZ:AGR_AGR_002(1.0),8700,5,2003,18,
STATSNZ:AGR_AGR_002(1.0),9120,10,2003,4594,
STATSNZ:AGR_AGR_002(1.0),8700,20,2005,2433,
STATSNZ:AGR_AGR_002(1.0),9120,15,2005,759,
STATSNZ:AGR_AGR_002(1.0),9135,19,2005,4834,
STATSNZ:AGR_AGR_002(1.0),8500,1,2007,30,
STATSNZ:AGR_AGR_002(1.0),8570,8,2007,19,
STATSNZ:AGR_AGR_002(1.0),8700,15,2007,437,
STATSNZ:AGR_AGR_002(1.0),9120,19,2007,714,
STATSNZ:AGR_AGR_002(1.0),8500,2,2009,121,
STATSNZ:AGR_AGR_002(1.0),8555,19,2009,635,
STATSNZ:AGR_AGR_002(1.0),8570,5,2009,59,
STATSNZ:AGR_AGR_002(1.0),8600,10,2009,9060,
STATSNZ:AGR_AGR_002(1.0),8700,16,2009,23,
STATSNZ:AGR_AGR_002(1.0),9120,11,2009,30,
STATSNZ:AGR_AGR_002(1.0),9135,6,2009,1031,
STATSNZ:AGR_AGR_002(1.0),9170,1,2009,4,
STATSNZ:AGR_AGR_002(1.0),8500,10,2011,5734,
STATSNZ:AGR_AGR_002(1.0),8600,15,2011,1817,
STATSNZ:AGR_AGR_002(1.0),8700,19,2011,661,
STATSNZ:AGR_AGR_002(1.0),9120,9,2011,12,
STATSNZ:AGR_AGR_002(1.0),9135,4,2011,2,
STATSNZ:AGR_AGR_002(1.0),9170,20,2011,6467,
STATSNZ:AGR_AGR_002(1.0),8500,15,2012,226,
STATSNZ:AGR_AGR_002(1.0),8570,18,2012,0,
STATSNZ:AGR_AGR_002(1.0),8600,13,2012,22627,
STATSNZ:AGR_AGR_002(1.0),8600,17,2012,,c
STATSNZ:AGR_AGR_002(1.0),8700,8,2012,43,
STATSNZ:AGR_AGR_002(1.0),8700,12,2012,0,
STATSNZ:AGR_AGR_002(1.0),9120,7,2012,,c
STATSNZ:AGR_AGR_002(1.0),9135,2,2012,1444,
STATSNZ:AGR_AGR_002(1.0),9170,14,2012,0,
STATSNZ:AGR_AGR_002(1.0),8500,9,2014,,c
STATSNZ:AGR_AGR_002(1.0),8500,13,2014,,c
STATSNZ:AGR_AGR_002(1.0),8555,4,2014,8456.3,
STATSNZ:AGR_AGR_002(1.0),8555,8,2014,149,
STATSNZ:AGR_AGR_002(1.0),8570,16,2014,0,
STATSNZ:AGR_AGR_002(1.0),8570,20,2014,3893,
STATSNZ:AGR_AGR_002(1.0),8600,11,2014,869,
STATSNZ:AGR_AGR_002(1.0),8700,6,2014,195,
STATSNZ:AGR_AGR_002(1.0),9120,1,2014,,c
STATSNZ:AGR_AGR_002(1.0),9120,18,2014,0,
STATSNZ:AGR_AGR_002(1.0),9135,13,2014,,c
STATSNZ:AGR_AGR_002(1.0),9135,17,2014,,c
STATSNZ:AGR_AGR_002(1.0),9170,12,2014,,c
STATSNZ:AGR_AGR_002(1.0),8555,14,2017,0,
STATSNZ:AGR_AGR_002(1.0),8570,9,2017,8,
STATSNZ:AGR_AGR_002(1.0),8570,13,2017,0,
STATSNZ:AGR_AGR_002(1.0),8600,4,2017,75,
STATSNZ:AGR_AGR_002(1.0),8600,8,2017,88,
STATSNZ:AGR_AGR_002(1.0),8700,3,2017,34,
STATSNZ:AGR_AGR_002(1.0),8700,20,2017,921,
STATSNZ:AGR_AGR_002(1.0),9120,15,2017,1001,
STATSNZ:AGR_AGR_002(1.0),9135,19,2017,4678,
STATSNZ:AGR_AGR_002(1.0),9170,18,2017,0,
STATSNZ:AGR_AGR_002(1.0),8500,1,2019,,s
STATSNZ:AGR_AGR_002(1.0),8500,18,2019,0,
STATSNZ:AGR_AGR_002(1.0),8555,13,2019,,s
STATSNZ:AGR_AGR_002(1.0),8570,8,2019,,s
STATSNZ:AGR_AGR_002(1.0),8600,3,2019,,s
STATSNZ:AGR_AGR_002(1.0),8700,15,2019,75,
