DATAFLOW,FORESTRY_AGR_AGR_001,AREA_AGR_AGR_001,YEAR_AGR_AGR_001,OBS_VALUE,OBS_STATUS
STATSNZ:AGR_AGR_001(1.0),6050,1,2006,332,
STATSNZ:AGR_AGR_001(1.0),6050,1,2016,313,
STATSNZ:AGR_AGR_001(1.0),6050,10,2008,772,
STATSNZ:AGR_AGR_001(1.0),6050,10,2018,5774,
STATSNZ:AGR_AGR_001(1.0),6050,11,2002,861,
STATSNZ:AGR_AGR_001(1.0),6050,13,2011,90,
STATSNZ:AGR_AGR_001(1.0),6050,16,2017,543,
STATSNZ:AGR_AGR_001(1.0),6050,18,2016,,c
STATSNZ:AGR_AGR_001(1.0),6050,2,2007,20,
STATSNZ:AGR_AGR_001(1.0),6050,20,2015,3051,
STATSNZ:AGR_AGR_001(1.0),6050,20,2017,5323,
STATSNZ:AGR_AGR_001(1.0),6050,3,2015,341,
STATSNZ:AGR_AGR_001(1.0),6050,7,2013,,s
STATSNZ:AGR_AGR_001(1.0),6050,8,2010,423,
STATSNZ:AGR_AGR_001(1.0),6050,9,2012,315,
STATSNZ:AGR_AGR_001(1.0),6051,11,2017,1575,
STATSNZ:AGR_AGR_001(1.0),6051,13,2006,914,
STATSNZ:AGR_AGR_001(1.0),6051,13,2016,1730,
STATSNZ:AGR_AGR_001(1.0),6051,14,2014,,c
STATSNZ:AGR_AGR_001(1.0),6051,15,2015,1921,
STATSNZ:AGR_AGR_001(1.0),6051,16,2004,2650,
STATSNZ:AGR_AGR_001(1.0),6051,19,2007,10803,
STATSNZ:AGR_AGR_001(1.0),6051,2,2013,1472,
STATSNZ:AGR_AGR_001(1.0),6051,20,2003,43170,
STATSNZ:AGR_AGR_001(1.0),6051,20,2004,44637,
STATSNZ:AGR_AGR_001(1.0),6051,3,2010,5585,
STATSNZ:AGR_AGR_001(1.0),6051,4,2011,6189,
STATSNZ:AGR_AGR_001(1.0),6051,4,2012,7931,
STATSNZ:AGR_AGR_001(1.0),6051,6,2002,3287,
STATSNZ:AGR_AGR_001(1.0),6051,8,2011,2339,
STATSNZ:AGR_AGR_001(1.0),6052,1,2002,1085467,
STATSNZ:AGR_AGR_001(1.0),6052,13,2014,759145,
STATSNZ:AGR_AGR_001(1.0),6052,14,2013,,c
STATSNZ:AGR_AGR_001(1.0),6052,15,2003,832402,
STATSNZ:AGR_AGR_001(1.0),6052,16,2011,1166781,
STATSNZ:AGR_AGR_001(1.0),6052,19,2015,5786140,
STATSNZ:AGR_AGR_001(1.0),6052,20,2011,24028319,
STATSNZ:AGR_AGR_001(1.0),6052,20,2012,25201223,
STATSNZ:AGR_AGR_001(1.0),6052,3,2008,3627008,
STATSNZ:AGR_AGR_001(1.0),6052,3,2018,3866837,
STATSNZ:AGR_AGR_001(1.0),6052,5,2007,727848,
STATSNZ:AGR_AGR_001(1.0),6052,6,2017,813659,
STATSNZ:AGR_AGR_001(1.0),6052,8,2006,1697761,
STATSNZ:AGR_AGR_001(1.0),6052,8,2016,885083,
STATSNZ:AGR_AGR_001(1.0),6052,9,2014,791602,
STATSNZ:AGR_AGR_001(1.0),6053,1,2017,8562,
STATSNZ:AGR_AGR_001(1.0),6053,10,2007,30199,
STATSNZ:AGR_AGR_001(1.0),6053,11,2011,3008,
STATSNZ:AGR_AGR_001(1.0),6053,13,2009,1010,
STATSNZ:AGR_AGR_001(1.0),6053,15,2008,2194,
STATSNZ:AGR_AGR_001(1.0),6053,15,2018,2712,
STATSNZ:AGR_AGR_001(1.0),6053,17,2007,1306,
STATSNZ:AGR_AGR_001(1.0),6053,17,2009,991,
STATSNZ:AGR_AGR_001(1.0),6053,18,2017,0,
STATSNZ:AGR_AGR_001(1.0),6053,19,2003,12010,
STATSNZ:AGR_AGR_001(1.0),6053,19,2004,12589,
STATSNZ:AGR_AGR_001(1.0),6053,3,2016,7800,
STATSNZ:AGR_AGR_001(1.0),6053,4,2005,8460,
STATSNZ:AGR_AGR_001(1.0),6053,4,2014,10208,
STATSNZ:AGR_AGR_001(1.0),6053,5,2015,3187,
STATSNZ:AGR_AGR_001(1.0),6053,7,2012,370,
STATSNZ:AGR_AGR_001(1.0),6053,8,2014,2362,
STATSNZ:AGR_AGR_001(1.0),6053,9,2002,929,
STATSNZ:AGR_AGR_001(1.0),6050,1,2012,201,
STATSNZ:AGR_AGR_001(1.0),6050,10,2004,9703,
STATSNZ:AGR_AGR_001(1.0),6050,12,2017,,s
STATSNZ:AGR_AGR_001(1.0),6050,13,2018,285,
STATSNZ:AGR_AGR_001(1.0),6050,14,2016,22,
STATSNZ:AGR_AGR_001(1.0),6050,15,2002,3352,
STATSNZ:AGR_AGR_001(1.0),6050,15,2007,297,
STATSNZ:AGR_AGR_001(1.0),6050,16,2015,171,
STATSNZ:AGR_AGR_001(1.0),6050,17,2018,388,
STATSNZ:AGR_AGR_001(1.0),6050,19,2016,1126,
STATSNZ:AGR_AGR_001(1.0),6050,20,2010,2948,
STATSNZ:AGR_AGR_001(1.0),6050,20,2013,9746,
STATSNZ:AGR_AGR_001(1.0),6050,3,2013,894,
STATSNZ:AGR_AGR_001(1.0),6050,5,2012,2990,
STATSNZ:AGR_AGR_001(1.0),6050,8,2004,2599,
STATSNZ:AGR_AGR_001(1.0),6050,8,2017,965,
STATSNZ:AGR_AGR_001(1.0),6050,9,2018,134,
STATSNZ:AGR_AGR_001(1.0),6051,1,2014,7101,
STATSNZ:AGR_AGR_001(1.0),6051,10,2006,25529,
STATSNZ:AGR_AGR_001(1.0),6051,10,2011,24473,
STATSNZ:AGR_AGR_001(1.0),6051,10,2016,29705,
STATSNZ:AGR_AGR_001(1.0),6051,15,2017,1627,
STATSNZ:AGR_AGR_001(1.0),6051,17,2016,1711,
STATSNZ:AGR_AGR_001(1.0),6051,18,2014,0,
STATSNZ:AGR_AGR_001(1.0),6051,19,2005,11927,
STATSNZ:AGR_AGR_001(1.0),6051,2,2015,375,
STATSNZ:AGR_AGR_001(1.0),6051,20,2010,33089,
STATSNZ:AGR_AGR_001(1.0),6051,3,2003,11282,
STATSNZ:AGR_AGR_001(1.0),6051,4,2006,5820,
STATSNZ:AGR_AGR_001(1.0),6051,6,2013,2813,
STATSNZ:AGR_AGR_001(1.0),6051,8,2012,1969,
STATSNZ:AGR_AGR_001(1.0),6052,1,2009,1765925,
STATSNZ:AGR_AGR_001(1.0),6052,12,2012,,c
STATSNZ:AGR_AGR_001(1.0),6052,13,2005,602116,
STATSNZ:AGR_AGR_001(1.0),6052,13,2007,737562,
STATSNZ:AGR_AGR_001(1.0),6052,15,2004,824197,
STATSNZ:AGR_AGR_001(1.0),6052,16,2012,1244927,
STATSNZ:AGR_AGR_001(1.0),6052,17,2005,301358,
STATSNZ:AGR_AGR_001(1.0),6052,18,2013,0,
STATSNZ:AGR_AGR_001(1.0),6052,19,2013,5410951,
STATSNZ:AGR_AGR_001(1.0),6052,2,2017,559103,
STATSNZ:AGR_AGR_001(1.0),6052,20,2018,30225292,
STATSNZ:AGR_AGR_001(1.0),6052,4,2006,3472579,
STATSNZ:AGR_AGR_001(1.0),6052,4,2016,6553745,
STATSNZ:AGR_AGR_001(1.0),6052,5,2009,1088828,
STATSNZ:AGR_AGR_001(1.0),6052,5,2014,2145494,
STATSNZ:AGR_AGR_001(1.0),6052,6,2010,1847147,
STATSNZ:AGR_AGR_001(1.0),6052,6,2015,2195820,
STATSNZ:AGR_AGR_001(1.0),6052,7,2018,160944,
STATSNZ:AGR_AGR_001(1.0),6052,9,2007,535208,
STATSNZ:AGR_AGR_001(1.0),6053,10,2005,28225,
STATSNZ:AGR_AGR_001(1.0),6053,11,2008,3041,
STATSNZ:AGR_AGR_001(1.0),6053,11,2018,2953,
STATSNZ:AGR_AGR_001(1.0),6053,12,2014,,c
STATSNZ:AGR_AGR_001(1.0),6053,13,2002,1043,
STATSNZ:AGR_AGR_001(1.0),6053,13,2007,1460,
STATSNZ:AGR_AGR_001(1.0),6053,15,2011,1651,
STATSNZ:AGR_AGR_001(1.0),6053,17,2002,2402,
STATSNZ:AGR_AGR_001(1.0),6053,19,2010,11606,
STATSNZ:AGR_AGR_001(1.0),6053,2,2004,2555,
STATSNZ:AGR_AGR_001(1.0),6053,5,2017,4162,
STATSNZ:AGR_AGR_001(1.0),6053,9,2009,936,
STATSNZ:AGR_AGR_001(1.0),6050,10,2003,12355,
STATSNZ:AGR_AGR_001(1.0),6050,11,2015,,c
STATSNZ:AGR_AGR_001(1.0),6050,12,2015,2,
STATSNZ:AGR_AGR_001(1.0),6050,15,2013,147,
STATSNZ:AGR_AGR_001(1.0),6050,15,2014,273,
STATSNZ:AGR_AGR_001(1.0),6050,16,2013,1979,
STATSNZ:AGR_AGR_001(1.0),6050,18,2012,,c
STATSNZ:AGR_AGR_001(1.0),6050,19,2014,894,
STATSNZ:AGR_AGR_001(1.0),6050,20,2002,33674,
STATSNZ:AGR_AGR_001(1.0),6050,3,2009,87,
STATSNZ:AGR_AGR_001(1.0),6050,4,2008,103,
STATSNZ:AGR_AGR_001(1.0),6050,6,2007,54,
STATSNZ:AGR_AGR_001(1.0),6050,7,2007,71,
STATSNZ:AGR_AGR_001(1.0),6050,7,2017,65,
STATSNZ:AGR_AGR_001(1.0),6050,9,2016,41,
STATSNZ:AGR_AGR_001(1.0),6051,10,2008,22532,
