DATAFLOW,LIVESTOCK_AGR_AGR_003,AREA_AGR_AGR_003,YEAR_AGR_AGR_003,OBS_VALUE,OBS_STATUS
STATSNZ:AGR_AGR_003(1.0),6731,8,1994,7458218,
STATSNZ:AGR_AGR_003(1.0),7685,20,1994,221897,
STATSNZ:AGR_AGR_003(1.0),7699,8,1994,128676,
STATSNZ:AGR_AGR_003(1.0),6723,5,1994,77322,
STATSNZ:AGR_AGR_003(1.0),7190,17,1994,69008,
STATSNZ:AGR_AGR_003(1.0),7074,14,1994,16317,
STATSNZ:AGR_AGR_003(1.0),6738,11,1994,14722,
STATSNZ:AGR_AGR_003(1.0),7696,13,1994,5905,
STATSNZ:AGR_AGR_003(1.0),7186,11,1994,72,
STATSNZ:AGR_AGR_003(1.0),6721,20,2002,26784582,
STATSNZ:AGR_AGR_003(1.0),6702,19,2002,17421302,
STATSNZ:AGR_AGR_003(1.0),6721,16,2002,4229999,
STATSNZ:AGR_AGR_003(1.0),7056,20,2002,1101633,
STATSNZ:AGR_AGR_003(1.0),7190,19,2002,741208,
STATSNZ:AGR_AGR_003(1.0),7073,20,2002,452828,
STATSNZ:AGR_AGR_003(1.0),7072,8,2002,61802,
STATSNZ:AGR_AGR_003(1.0),6738,4,2002,25330,
STATSNZ:AGR_AGR_003(1.0),7059,5,2002,24636,
STATSNZ:AGR_AGR_003(1.0),7067,2,2002,19077,
STATSNZ:AGR_AGR_003(1.0),7188,2,2002,7122,
STATSNZ:AGR_AGR_003(1.0),7687,7,2002,5479,
STATSNZ:AGR_AGR_003(1.0),7810,1,2002,3097,
STATSNZ:AGR_AGR_003(1.0),6949,4,2002,1173,
STATSNZ:AGR_AGR_003(1.0),7185,13,2002,253,
STATSNZ:AGR_AGR_003(1.0),7810,18,2002,43,
STATSNZ:AGR_AGR_003(1.0),6720,10,2003,194968,
STATSNZ:AGR_AGR_003(1.0),6720,17,2003,56478,
STATSNZ:AGR_AGR_003(1.0),6723,6,2003,254389,
STATSNZ:AGR_AGR_003(1.0),7066,3,2003,83970,
STATSNZ:AGR_AGR_003(1.0),7187,3,2003,1307610,
STATSNZ:AGR_AGR_003(1.0),7685,10,2003,58948,
STATSNZ:AGR_AGR_003(1.0),7686,8,2003,26396,
STATSNZ:AGR_AGR_003(1.0),7696,14,2003,16804,
STATSNZ:AGR_AGR_003(1.0),7057,9,2004,6406,
STATSNZ:AGR_AGR_003(1.0),7064,15,2004,68753,
STATSNZ:AGR_AGR_003(1.0),7068,12,2004,34,
STATSNZ:AGR_AGR_003(1.0),7071,3,2004,26500,
STATSNZ:AGR_AGR_003(1.0),7074,9,2004,45533,
STATSNZ:AGR_AGR_003(1.0),7193,17,2004,349021,
STATSNZ:AGR_AGR_003(1.0),7186,6,2004,286,
STATSNZ:AGR_AGR_003(1.0),6731,3,2004,2457368,
STATSNZ:AGR_AGR_003(1.0),6723,10,2004,1452590,
STATSNZ:AGR_AGR_003(1.0),6703,14,2004,76915,
STATSNZ:AGR_AGR_003(1.0),7699,3,2004,144469,
STATSNZ:AGR_AGR_003(1.0),7688,17,2004,78905,
STATSNZ:AGR_AGR_003(1.0),7077,1,2005,469262,
STATSNZ:AGR_AGR_003(1.0),7059,15,2005,42005,
STATSNZ:AGR_AGR_003(1.0),6721,9,2005,1269559,
STATSNZ:AGR_AGR_003(1.0),6702,3,2005,2139699,
STATSNZ:AGR_AGR_003(1.0),7687,10,2005,256276,
STATSNZ:AGR_AGR_003(1.0),6955,3,2005,100768,
STATSNZ:AGR_AGR_003(1.0),7058,10,2006,102620,
STATSNZ:AGR_AGR_003(1.0),7058,17,2006,3647,
STATSNZ:AGR_AGR_003(1.0),7065,6,2006,20502,
STATSNZ:AGR_AGR_003(1.0),7071,3,2006,21166,
STATSNZ:AGR_AGR_003(1.0),7193,10,2006,3714682,
STATSNZ:AGR_AGR_003(1.0),7193,17,2006,375911,
STATSNZ:AGR_AGR_003(1.0),7184,8,2006,67268,
STATSNZ:AGR_AGR_003(1.0),7187,14,2006,119219,
STATSNZ:AGR_AGR_003(1.0),6720,11,2006,3435,
STATSNZ:AGR_AGR_003(1.0),6723,17,2006,552897,
STATSNZ:AGR_AGR_003(1.0),6701,5,2006,71419,
STATSNZ:AGR_AGR_003(1.0),7685,11,2006,1797,
STATSNZ:AGR_AGR_003(1.0),7696,8,2006,47443,
STATSNZ:AGR_AGR_003(1.0),6953,5,2006,823,
STATSNZ:AGR_AGR_003(1.0),7057,3,2007,22124,
STATSNZ:AGR_AGR_003(1.0),7064,9,2007,20013,
STATSNZ:AGR_AGR_003(1.0),7074,3,2007,110668,
STATSNZ:AGR_AGR_003(1.0),7186,10,2007,12814,
STATSNZ:AGR_AGR_003(1.0),7186,17,2007,1558,
STATSNZ:AGR_AGR_003(1.0),7190,6,2007,48849,
STATSNZ:AGR_AGR_003(1.0),6731,14,2007,54094,
STATSNZ:AGR_AGR_003(1.0),6723,11,2007,27659,
STATSNZ:AGR_AGR_003(1.0),6703,8,2007,5717867,
STATSNZ:AGR_AGR_003(1.0),7699,14,2007,41755,
STATSNZ:AGR_AGR_003(1.0),7688,11,2007,4866,
STATSNZ:AGR_AGR_003(1.0),7696,2,2007,3473,
STATSNZ:AGR_AGR_003(1.0),6951,8,2007,403,
STATSNZ:AGR_AGR_003(1.0),7077,15,2008,533665,
STATSNZ:AGR_AGR_003(1.0),7073,6,2008,47746,
STATSNZ:AGR_AGR_003(1.0),7185,3,2008,14240,
STATSNZ:AGR_AGR_003(1.0),7190,10,2008,2421990,
STATSNZ:AGR_AGR_003(1.0),6722,14,2008,355,
STATSNZ:AGR_AGR_003(1.0),6727,3,2008,4711,
STATSNZ:AGR_AGR_003(1.0),6702,17,2008,5582869,
STATSNZ:AGR_AGR_003(1.0),7688,5,2008,4230,
STATSNZ:AGR_AGR_003(1.0),7810,8,2008,5338,
STATSNZ:AGR_AGR_003(1.0),7077,8,2009,609701,
STATSNZ:AGR_AGR_003(1.0),7066,11,2009,8830,
STATSNZ:AGR_AGR_003(1.0),6720,8,2009,60070,
STATSNZ:AGR_AGR_003(1.0),6727,13,2009,36586,
STATSNZ:AGR_AGR_003(1.0),7686,16,2009,32857,
STATSNZ:AGR_AGR_003(1.0),7686,20,2009,261102,
STATSNZ:AGR_AGR_003(1.0),6955,19,2009,436177,
STATSNZ:AGR_AGR_003(1.0),7077,13,2010,60852,
STATSNZ:AGR_AGR_003(1.0),7056,4,2010,17759,
STATSNZ:AGR_AGR_003(1.0),7064,1,2010,52957,
STATSNZ:AGR_AGR_003(1.0),7064,18,2010,2553,
STATSNZ:AGR_AGR_003(1.0),7068,15,2010,8184,
STATSNZ:AGR_AGR_003(1.0),7073,4,2010,3809,
STATSNZ:AGR_AGR_003(1.0),7186,9,2010,684,
STATSNZ:AGR_AGR_003(1.0),7190,15,2010,499969,
STATSNZ:AGR_AGR_003(1.0),7699,6,2010,66573,
STATSNZ:AGR_AGR_003(1.0),6951,10,2010,2280,
STATSNZ:AGR_AGR_003(1.0),7077,9,2011,150561,
STATSNZ:AGR_AGR_003(1.0),7059,6,2011,38292,
STATSNZ:AGR_AGR_003(1.0),7067,3,2011,54833,
STATSNZ:AGR_AGR_003(1.0),7073,10,2011,217821,
STATSNZ:AGR_AGR_003(1.0),7184,6,2011,18979,
STATSNZ:AGR_AGR_003(1.0),7185,14,2011,2306,
STATSNZ:AGR_AGR_003(1.0),7190,11,2011,42721,
STATSNZ:AGR_AGR_003(1.0),6702,11,2011,198340,
STATSNZ:AGR_AGR_003(1.0),7699,2,2011,10593,
STATSNZ:AGR_AGR_003(1.0),7687,8,2011,43765,
STATSNZ:AGR_AGR_003(1.0),7057,14,2012,2324,
STATSNZ:AGR_AGR_003(1.0),7065,11,2012,2896,
STATSNZ:AGR_AGR_003(1.0),7071,8,2012,16863,
STATSNZ:AGR_AGR_003(1.0),7072,20,2012,246684,
STATSNZ:AGR_AGR_003(1.0),7193,5,2012,17095,
STATSNZ:AGR_AGR_003(1.0),7187,2,2012,88822,
STATSNZ:AGR_AGR_003(1.0),6731,8,2012,5612743,
STATSNZ:AGR_AGR_003(1.0),6703,2,2012,152369,
STATSNZ:AGR_AGR_003(1.0),7685,16,2012,8628,
STATSNZ:AGR_AGR_003(1.0),7685,20,2012,87898,
STATSNZ:AGR_AGR_003(1.0),7696,13,2012,2809,
STATSNZ:AGR_AGR_003(1.0),6954,4,2012,4542,
STATSNZ:AGR_AGR_003(1.0),6953,19,2012,164544,
STATSNZ:AGR_AGR_003(1.0),7056,14,2013,10091,
STATSNZ:AGR_AGR_003(1.0),7059,3,2013,42172,
STATSNZ:AGR_AGR_003(1.0),7067,17,2013,26726,
STATSNZ:AGR_AGR_003(1.0),7073,14,2013,,s
STATSNZ:AGR_AGR_003(1.0),7185,11,2013,,s
STATSNZ:AGR_AGR_003(1.0),7188,10,2013,247341,
STATSNZ:AGR_AGR_003(1.0),6722,5,2013,50175,
STATSNZ:AGR_AGR_003(1.0),6738,2,2013,32212,
STATSNZ:AGR_AGR_003(1.0),6702,8,2013,4361630,
STATSNZ:AGR_AGR_003(1.0),6949,2,2013,,c
STATSNZ:AGR_AGR_003(1.0),7810,16,2013,2286,
STATSNZ:AGR_AGR_003(1.0),7810,20,2013,57427,
STATSNZ:AGR_AGR_003(1.0),7077,3,2014,469331,
STATSNZ:AGR_AGR_003(1.0),7059,17,2014,9085,
